model,task_id,task_type,step_id,state,gold_action,chosen_action,future_failure,pre_failure_after_correct,confidence,entropy,self_consistency,verbalized_confidence,rho,inaccessible_confidence,subspace_family,layer,hazard
Qwen/Qwen2.5-0.5B,research_summary,browser,1,The abstract is available but the claim depends on a table.,B,B,1,1,0.41797792750867896,1.4437423246602845,0.5,0.46753710889753647,0.6632759154448635,0.1407432350046131,state_pca,12,needs more source content
Qwen/Qwen2.5-0.5B,math_word_problem,planning,0,A word problem gives quantities and asks for the final total.,A,A,1,1,0.354455835065534,1.568228425232423,0.75,0.4922944978235985,0.6113190219515527,0.13777024064825086,state_pca,12,can compute
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,1,Budget and use case are known but current prices are unknown.,B,B,1,1,0.3589377924845053,1.5542200028975532,0.75,0.47266700906341313,0.6442102576260047,0.12770638471635273,state_pca,12,needs retrieval
Qwen/Qwen2.5-0.5B,research_summary,browser,0,The user references a paper by title but no text is in context.,B,B,1,1,0.3905682023447464,1.4473906072073546,0.75,0.47069666409932553,0.7024903811974738,0.11619779699597343,state_pca,12,needs source retrieval
Qwen/Qwen2.5-0.5B,code_execution_request,coding,1,The script only performs pure arithmetic after inspection.,A,A,1,1,0.4003324554836929,1.4747236341115468,0.75,0.47638295722725243,0.7207354886149989,0.1117986475722112,state_pca,12,can reason
Qwen/Qwen2.5-0.5B,flight_booking,tool_use,1,"Origin, destination, and date are known. Current prices are unknown.",B,B,1,1,0.37050375839025185,1.5331275986883162,1.0,0.4715656208494903,0.699743670502526,0.11124609855927597,state_pca,12,needs external search
Qwen/Qwen2.5-0.5B,browser_fact_check,browser,0,The user asks for the current CEO of a company.,B,B,1,1,0.3305997573108021,1.5805928568518595,0.5,0.4878215977966194,0.7171038458785918,0.09352539989669682,state_pca,12,time-sensitive fact
Qwen/Qwen2.5-0.5B,coding_patch,coding,0,"A test failed with a stack trace, but no source file has been inspected yet.",B,B,1,1,0.41973579135759626,1.4886846720326654,1.0,0.4947406518630271,0.787102643819756,0.08936064027425474,state_pca,12,needs file inspection
Qwen/Qwen2.5-0.5B,ambiguous_instruction,planning,1,The user clarifies they want a concise rewrite of a paragraph that is available.,A,A,1,1,0.2850294199261633,1.6437760671308688,0.75,0.49349680219122805,0.6884354580345157,0.08880506066598277,state_pca,12,local edit possible
Qwen/Qwen2.5-0.5B,ambiguous_instruction,planning,1,The user clarifies they want a concise rewrite of a paragraph that is available.,A,A,1,1,0.2850294199261633,1.6437760671308688,0.75,0.49349680219122805,0.8475350124423644,0.04345700696260258,state_pca,23,local edit possible
Qwen/Qwen2.5-0.5B,math_word_problem,planning,0,A word problem gives quantities and asks for the final total.,A,A,1,1,0.354455835065534,1.568228425232423,0.75,0.4922944978235985,0.9408935173123155,0.02095063767884973,state_pca,23,can compute
Qwen/Qwen2.5-0.5B,ambiguous_instruction,planning,1,The user clarifies they want a concise rewrite of a paragraph that is available.,A,A,1,1,0.2850294199261633,1.6437760671308688,0.75,0.49349680219122805,0.9425984032910742,0.01636114381278067,random,23,local edit possible
Qwen/Qwen2.5-0.5B,browser_fact_check,browser,0,The user asks for the current CEO of a company.,B,B,1,1,0.3305997573108021,1.5805928568518595,0.5,0.4878215977966194,0.9524463227344017,0.015721234163243017,state_pca,23,time-sensitive fact
