failure_type,model,prompt_id,prompt,task,topic,observed_condition,final_top1_token,layer,subspace_family,subspace_k,top_k_output,direction,sign,rho,abs_delta_entropy,abs_delta_varentropy,full_vocab_top10_jaccard,selected_top1_changed,rho_topk_range,candidate_set_kl,candidate_mass_retention_ratio
high_rho_low_delta_entropy,distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,4,delta_pca,8,32.0,accessible_ls,increase,0.7412256346254924,0.0167454496807897,0.0402686612288557,1.0,0.0,,0.001237860750576,0.979738942049648
top1_changed,google/bert_uncased_L-2_H-128_A-2,4,A person who treats patients is a [MASK].,factual_deep,role,error,patient,2,state_pca,8,32.0,accessible_ls,increase,0.4313736381961758,0.0399745255307464,0.0686687506209495,1.0,1.0,,0.0013055311533604,0.9762986870590472
top1_changed,bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,4,random,8,32.0,accessible_ls,decrease,0.4862923365486922,0.0294444068866428,0.0671234427492929,1.0,1.0,,0.001223841419767,1.0072457245795043
top1_changed,google/bert_uncased_L-2_H-128_A-2,11,Ten divided by two equals [MASK].,factual_simple,math,error,two,1,state_pca,8,32.0,accessible_ls,decrease,0.4229513915124673,0.0294414674447209,0.0557456420589455,1.0,1.0,,0.0012600363977241,1.0146625783284229
top1_changed,bert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,correct,late,8,state_pca,8,32.0,accessible_ls,increase,0.4742697485834515,0.026629668573844,0.0486518655798429,1.0,1.0,,0.0012628638269848,0.977185420059086
top1_changed,bert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,present,4,delta_pca,8,32.0,accessible_ls,increase,0.4796389608333501,0.0266248138441067,0.0605942491957968,1.0,1.0,,0.0012619180113152,0.9788858597857936
top1_changed,bert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,present,4,random,8,32.0,accessible_ls,increase,0.4615246451833569,0.026600232404685,0.0596088993206435,0.8181818181818182,1.0,,0.0012816046884841,1.0011274700227526
top1_changed,bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,4,state_pca,8,32.0,accessible_ls,decrease,0.3888252120469495,0.0264313917558793,0.0532610218824876,0.8181818181818182,1.0,,0.0012324688314871,1.0343201447282488
top1_changed,bert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,8,state_pca,8,32.0,accessible_ls,decrease,0.3688301259637621,0.0245696351495472,0.0526751137702031,1.0,1.0,,0.0012162615262886,1.0209454233924689
top1_changed,distilbert-base-uncased,11,Ten divided by two equals [MASK].,factual_simple,math,error,zero,6,state_pca,8,32.0,accessible_ls,increase,0.4608721051000462,0.0223009123696265,0.0485194610136736,1.0,1.0,,0.0012746384681182,0.983318625509024
