subspace,k,layer,scalar_distance_z,rho_adjusted_abs_diff,left_prompt_id,right_prompt_id,left_condition,right_condition,left_rho_adjusted,right_rho_adjusted,left_prompt,right_prompt,left_target,right_target,left_final_top1,right_final_top1,left_entropy_topk,right_entropy_topk,left_varentropy_topk,right_varentropy_topk,left_top1_prob_topk_layer,right_top1_prob_topk_layer,left_trace_fim_full,right_trace_fim_full
delta_forward_1d,1,5,0.31258533127705007,1.0507264543545567,59,198,correct,error,0.7348513130310871,-0.3158751413234696,"In Serbia, the capital city is [MASK].",Five minus two equals [MASK].,belgrade,three,belgrade,zero,2.0104050793328057,2.020917655981356,3.367735082732311,3.1480022545019573,0.5947776557963522,0.5753055122973791,5.443239737496257,6.048131927562477
delta_forward_1d,1,5,0.1870280455420596,1.0388392526640124,36,198,correct,error,0.7229641113405428,-0.3158751413234696,The capital of Finland is [MASK].,Five minus two equals [MASK].,helsinki,three,helsinki,zero,2.01654469717003,2.020917655981356,3.096512366794532,3.1480022545019573,0.5625402877879534,0.5753055122973791,5.560066214948622,6.048131927562477
delta_forward_1d,1,5,0.15929713604575027,1.0065372729061508,85,198,correct,error,0.6906621315826813,-0.3158751413234696,Vietnam's capital city is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,2.040745452775001,2.020917655981356,3.233860070957082,3.1480022545019573,0.5703138634454517,0.5753055122973791,6.423162994692248,6.048131927562477
delta_forward_1d,1,5,0.3323721431974688,0.9934972142958022,50,198,correct,error,0.6776220729723326,-0.3158751413234696,"In Hungary, the capital city is [MASK].",Five minus two equals [MASK].,budapest,three,budapest,zero,1.9919319213891948,2.020917655981356,3.300904812152489,3.1480022545019573,0.5875710692775493,0.5753055122973791,5.219824414081144,6.048131927562477
delta_forward_1d,1,5,0.3321709634359424,0.9849515680548556,71,198,correct,error,0.669076426731386,-0.3158751413234696,"In Iraq, the capital city is [MASK].",Five minus two equals [MASK].,baghdad,three,baghdad,zero,1.9523333327705668,2.020917655981356,3.315444425876494,3.1480022545019573,0.5990841921755921,0.5753055122973791,5.329919311383125,6.048131927562477
delta_forward_1d,1,5,0.32247750920713397,0.9804523125240734,84,198,correct,error,0.6645771712006038,-0.3158751413234696,The capital of Vietnam is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,1.9143826374433897,2.020917655981356,3.356018157032903,3.1480022545019573,0.6018784945092926,0.5753055122973791,5.585555257983533,6.048131927562477
delta_forward_1d,1,5,0.3199405373818561,0.9723422111628177,53,295,correct,correct,0.7577078474593848,-0.2146343637034329,"In Romania, the capital city is [MASK].",Gravity is famously linked to Newton and the apple; his surname was [MASK].,bucharest,newton,bucharest,newton,2.851017707621822,3.0019782909794754,1.5335538263722936,1.3345491869794155,0.2991625204155861,0.2875614888729872,8.491094221689284,8.857631134995156
delta_forward_1d,1,5,0.1889880147153331,0.9633386685497907,52,234,correct,error,0.782311163483173,-0.1810275050666177,Romania's capital city is [MASK].,The plural of mouse is [MASK].,bucharest,mice,bucharest,mouse,2.824014691049596,2.743159208510769,1.5948086845371077,1.600583771541078,0.3090925179906229,0.3089123049054113,9.15548790447794,9.583509914108864
state_pca,2,6,0.08948531953753301,0.9473043392242246,55,100,correct,correct,-0.6681573072620246,0.2791470319622001,Bulgaria's capital city is [MASK].,Tunisia's capital city is [MASK].,sofia,tunis,sofia,tunis,0.128987436654931,0.1112665452910119,0.4678275461103334,0.5298520031659588,0.975069405510716,0.9826110917176668,1.4308609039019045,0.8706555152478108
delta_forward_1d,1,5,0.3231099060882412,0.9471291395638032,52,191,correct,correct,0.782311163483173,-0.1648179760806302,Romania's capital city is [MASK].,[MASK] is made by bees.,bucharest,honey,bucharest,honey,2.824014691049596,2.804069184302733,1.5948086845371077,1.6845740258960815,0.3090925179906229,0.3276873619800673,9.15548790447794,10.00856912981666
delta_forward_1d,1,5,0.24037529112526704,0.9397509763779845,251,282,correct,error,0.7499325034574069,-0.1898184729205776,More than one knife are called [MASK].,A whale is a [MASK].,knives,mammal,knives,whale,2.711207809354983,2.679446097971214,1.9429841016865896,2.003345724129824,0.3645474742196693,0.3690107614352246,8.773954589924763,9.42557932601328
