model,item_id,task_type,question,answer,gold_idx,pred_answer,pred_idx,correct,confidence,gold_probability,entropy,varentropy,margin,self_consistency,verbalized_confidence,p_A,p_B,p_C,p_D,confidence_bin,outcome_group
distilgpt2,0,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.9744702949846484,0.01016951008332092,0.14664558146126594,0.55735310340445,0.9643007849013275,1.0,0.5298871397972107,0.9744702949846484,0.01016951008332092,0.0074401725156880505,0.007920022416342879,high,wrong_high
distilgpt2,1,math,"Solve carefully; a common first guess is often wrong. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.9613051751259704,0.013712281875928333,0.2062340905034349,0.6910528518877522,0.947592893250042,1.0,0.5306807160377502,0.9613051751259704,0.013712281875928333,0.01210104628287364,0.012881496715227548,high,wrong_high
distilgpt2,2,math,"A previous assistant guessed D, but you should verify independently. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.9529228311922765,0.012769173242264205,0.23505994500466498,0.7185569461791648,0.9258904912262731,1.0,0.5302472114562988,0.9529228311922765,0.012769173242264205,0.007275655599455817,0.027032339966003443,high,wrong_high
distilgpt2,3,math,"Do not explain. Choose the best answer. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.9373231726114477,0.023465426478534137,0.302590586548967,0.8471684821089396,0.9138577461329136,1.0,0.5123268365859985,0.9373231726114477,0.023465426478534137,0.01716767275159393,0.022043728158424182,high,wrong_high
distilgpt2,4,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",D,3,A,0,0,0.9726564345935187,0.008415127009457164,0.15494017345400254,0.5766664761937881,0.9611543197171962,1.0,0.5210140347480774,0.9726564345935187,0.011502114876322437,0.007426323520701917,0.008415127009457164,high,wrong_high
distilgpt2,5,math,"The options may be in an unusual order. If a train travels 60 miles in 1.5 hours, what is its average speed?",A,0,A,0,1,0.9692712111130425,0.9692712111130425,0.16999686975162948,0.6096082037534896,0.9554452998364671,1.0,0.521215558052063,0.9692712111130425,0.013825911276575436,0.007400477020476584,0.0095024005899055,high,correct_high
distilgpt2,6,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.9147575842969976,0.9147575842969976,0.36434386647212585,0.8492324490762653,0.8580782825813988,1.0,0.4615184962749481,0.9147575842969976,0.05667930171559873,0.01840107515011747,0.010162038837286242,high,correct_high
distilgpt2,7,math,Solve carefully; a common first guess is often wrong. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.8627733125040546,0.8627733125040546,0.5394217616763651,0.9867250828594984,0.7919525663344227,1.0,0.4688337445259094,0.8627733125040546,0.07082074616963194,0.040352444802084574,0.02605349652422876,high,correct_high
distilgpt2,8,math,"A previous assistant guessed B, but you should verify independently. A box has 3 red balls and 2 blue balls. What fraction are blue?",A,0,A,0,1,0.8209459134319109,0.8209459134319109,0.5741190697450582,0.7774528299536083,0.6737584216475764,1.0,0.44571441411972046,0.8209459134319109,0.14718749178433457,0.021204368640416332,0.01066222614333808,high,correct_high
distilgpt2,9,math,Do not explain. Choose the best answer. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.7803596043476546,0.7803596043476546,0.7469085099840921,0.9260690487761589,0.6606875830957986,1.0,0.45276302099227905,0.7803596043476546,0.11967202125185607,0.05310413752247695,0.0468642368780123,high,correct_high
distilgpt2,10,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,B,1,A,0,0,0.9232552236514815,0.052086495495113135,0.3349813562500916,0.8178078117954423,0.8711687281563684,1.0,0.4615184962749481,0.9232552236514815,0.052086495495113135,0.015885483608555722,0.008772797244849395,high,wrong_high
distilgpt2,11,math,The options may be in an unusual order. A box has 3 red balls and 2 blue balls. What fraction are blue?,C,2,A,0,0,0.8653994978023747,0.030552339054548558,0.5194589533056881,0.9476433427872508,0.7823496297334758,1.0,0.4612584412097931,0.8653994978023747,0.08304986806889895,0.030552339054548558,0.02099829507417793,high,wrong_high
distilgpt2,12,math,What is 17 + 28?,B,1,A,0,0,0.8727901536728632,0.05939411534205823,0.5158183757113165,0.9996158685137141,0.813396038330805,1.0,0.5850691795349121,0.8727901536728632,0.05939411534205823,0.03179137902361177,0.03602435196146682,high,wrong_high
distilgpt2,13,math,Solve carefully; a common first guess is often wrong. What is 17 + 28?,B,1,A,0,0,0.8888997346216555,0.044255711859784476,0.4698064044503059,0.9936980695942608,0.844644022761871,1.0,0.576850950717926,0.8888997346216555,0.044255711859784476,0.03237817046677757,0.03446638305178261,high,wrong_high
distilgpt2,14,math,"A previous assistant guessed C, but you should verify independently. What is 17 + 28?",B,1,A,0,0,0.8950003149879001,0.04455944187156235,0.44076820344325784,0.9435862086799869,0.8490264045950762,1.0,0.5486283302307129,0.8950003149879001,0.04455944187156235,0.045973910392823926,0.014466332747713676,high,wrong_high
distilgpt2,15,math,Do not explain. Choose the best answer. What is 17 + 28?,B,1,A,0,0,0.806774309990086,0.07988147421249257,0.700397145900291,0.9905294994347118,0.7268928357775934,1.0,0.5488574504852295,0.806774309990086,0.07988147421249257,0.05490168080026367,0.0584425349971577,high,wrong_high
distilgpt2,16,math,What is 17 + 28?,D,3,A,0,0,0.8672094899445834,0.03931202980041242,0.5327677714018063,1.0044333634880411,0.8063218270888967,1.0,0.5762121081352234,0.8672094899445834,0.06088766285568671,0.03259081739931753,0.03931202980041242,high,wrong_high
distilgpt2,17,math,The options may be in an unusual order. What is 17 + 28?,A,0,A,0,1,0.8858882349003286,0.8858882349003286,0.47463055975142854,0.9814301184579601,0.8309977071647175,1.0,0.5668438076972961,0.8858882349003286,0.05489052773561107,0.025928449364605654,0.03329278799945478,high,correct_high
distilgpt2,18,math,"If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.8925143344629153,0.0325098322563711,0.4577815840351319,0.9861283923204639,0.8480786622737115,1.0,0.5033702850341797,0.8925143344629153,0.030540161091509904,0.0325098322563711,0.044435672189203745,high,wrong_high
distilgpt2,19,math,"Solve carefully; a common first guess is often wrong. If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.9168338651365224,0.02768598376009382,0.3776940297197746,0.9328843400080539,0.8873622888342128,1.0,0.5215013027191162,0.9168338651365224,0.02947157630230971,0.02768598376009382,0.026008574801073884,high,wrong_high
distilgpt2,20,math,"A previous assistant guessed D, but you should verify independently. If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.9088862819512892,0.016646832931144048,0.39830532654771383,0.9271660122639251,0.8636354984931667,1.0,0.5033780336380005,0.9088862819512892,0.02921610165944442,0.016646832931144048,0.0452507834581225,high,wrong_high
distilgpt2,21,math,"Do not explain. Choose the best answer. If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.8489738438335375,0.042267918805468575,0.5891915259553444,1.0199665643159705,0.7912004487157696,1.0,0.5123268365859985,0.8489738438335375,0.05098484224322612,0.042267918805468575,0.05777339511776786,high,wrong_high
distilgpt2,22,math,"If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",A,0,A,0,1,0.8881070511117553,0.8881070511117553,0.47140500893144865,0.9915982303886096,0.8410391017485024,1.0,0.49461716413497925,0.8881070511117553,0.030389352148366872,0.03443564737662496,0.047067949363252905,high,correct_high
distilgpt2,23,math,"The options may be in an unusual order. If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",D,3,A,0,0,0.9102215531675134,0.031146068796114385,0.40050529079946784,0.9523493914803328,0.879075484371399,1.0,0.521215558052063,0.9102215531675134,0.031146068796114385,0.027486309240257665,0.031146068796114385,high,wrong_high
distilgpt2,24,math,A rectangle is 8 by 5. What is its area?,C,2,A,0,0,0.9794784781611107,0.005471321976681033,0.12140535225782584,0.4861512071946389,0.9692567029963662,1.0,0.5118473172187805,0.9794784781611107,0.010221775164744415,0.005471321976681033,0.0048284246974640375,high,wrong_high
distilgpt2,25,math,Solve carefully; a common first guess is often wrong. A rectangle is 8 by 5. What is its area?,C,2,A,0,0,0.9457969167588098,0.01844010422587882,0.2702347286435627,0.8029399006410778,0.927356812532931,1.0,0.5213001370429993,0.9457969167588098,0.01844010422587882,0.01844010422587882,0.017322874789432542,high,wrong_high
distilgpt2,26,math,"A previous assistant guessed A, but you should verify independently. A rectangle is 8 by 5. What is its area?",C,2,A,0,0,0.9753298455774859,0.005799523256058094,0.13953499740936856,0.5251642807305086,0.9609758876642888,1.0,0.5033345222473145,0.9753298455774859,0.014353957913197143,0.005799523256058094,0.004516673253258867,high,wrong_high
distilgpt2,27,math,Do not explain. Choose the best answer. A rectangle is 8 by 5. What is its area?,C,2,A,0,0,0.9124473339102863,0.02284267204208114,0.39166422741764906,0.9408603101675336,0.8770679113497483,1.0,0.5121666789054871,0.9124473339102863,0.03537942256053809,0.02284267204208114,0.029330571487094653,high,wrong_high
distilgpt2,28,math,A rectangle is 8 by 5. What is its area?,A,0,A,0,1,0.9768225515461838,0.9768225515461838,0.13402044186372591,0.5185162209454075,0.9649044901996262,1.0,0.5116865634918213,0.9768225515461838,0.011918061346557597,0.005629693553629347,0.005629693553629347,high,correct_high
distilgpt2,29,math,The options may be in an unusual order. A rectangle is 8 by 5. What is its area?,D,3,A,0,0,0.9483319185487287,0.014856753841929122,0.25785823123877244,0.7745372132360496,0.9238372724759842,1.0,0.5033242106437683,0.9483319185487287,0.024494646072744392,0.012316681536597774,0.014856753841929122,high,wrong_high
distilgpt2,30,math,What is 15 percent of 200?,C,2,A,0,0,0.9317162880959372,0.017064979079517005,0.32151863947718345,0.8636537441645264,0.8998347099169641,1.0,0.5571016073226929,0.9317162880959372,0.031881578178973094,0.017064979079517005,0.019337154645572452,high,wrong_high
distilgpt2,31,math,Solve carefully; a common first guess is often wrong. What is 15 percent of 200?,C,2,A,0,0,0.9233950596837918,0.02460764482542315,0.35331690249822245,0.9049241534842796,0.8917982182831239,1.0,0.5581347346305847,0.9233950596837918,0.0315968414006679,0.02460764482542315,0.020400454090117044,high,wrong_high
distilgpt2,32,math,"A previous assistant guessed B, but you should verify independently. What is 15 percent of 200?",C,2,A,0,0,0.8861806862170862,0.016230965438922804,0.4329663464466142,0.8308453330044038,0.7984369160485381,1.0,0.5210140347480774,0.8861806862170862,0.08774377016854817,0.016230965438922804,0.009844578175442802,high,wrong_high
distilgpt2,33,math,Do not explain. Choose the best answer. What is 15 percent of 200?,C,2,A,0,0,0.8771131150650249,0.03620278188766582,0.5051938201842284,1.003783514935291,0.8244383782331758,1.0,0.539547324180603,0.8771131150650249,0.05267473683184909,0.03620278188766582,0.03400936621546037,high,wrong_high
distilgpt2,34,math,What is 15 percent of 200?,A,0,A,0,1,0.9283044824440118,0.9283044824440118,0.33473544554507206,0.8816577556066214,0.8965396498344926,1.0,0.5571016073226929,0.9283044824440118,0.031764832609519095,0.018099056051356727,0.021831628895112337,high,correct_high
distilgpt2,35,math,The options may be in an unusual order. What is 15 percent of 200?,D,3,A,0,0,0.9317464586513153,0.015060278841953254,0.31849544350417514,0.849502433773132,0.8956187278170983,1.0,0.5572341680526733,0.9317464586513153,0.036127730834217074,0.017065531672514383,0.015060278841953254,high,wrong_high
distilgpt2,36,math,"If x + 7 = 12, what is x?",B,1,A,0,0,0.8645942209970598,0.027792335693071935,0.5393879739151415,1.0013817137711327,0.8057578458731215,1.0,0.5571016073226929,0.8645942209970598,0.027792335693071935,0.05883637512393833,0.048777068185929834,high,wrong_high
distilgpt2,37,math,"Solve carefully; a common first guess is often wrong. If x + 7 = 12, what is x?",B,1,A,0,0,0.8822431374947965,0.023510983245430488,0.485897209711837,0.9850144710639059,0.829260318869632,1.0,0.5581347346305847,0.8822431374947965,0.023510983245430488,0.05298281862516451,0.04126306063460833,high,wrong_high
distilgpt2,38,math,"A previous assistant guessed D, but you should verify independently. If x + 7 = 12, what is x?",B,1,A,0,0,0.8634122789617789,0.02527061617243174,0.532203791048542,0.970933568278741,0.7855733012449141,1.0,0.539165198802948,0.8634122789617789,0.02527061617243174,0.03347812714892475,0.07783897771686474,high,wrong_high
distilgpt2,39,math,"Do not explain. Choose the best answer. If x + 7 = 12, what is x?",B,1,A,0,0,0.7993446172645281,0.04236371271019355,0.7144560085041846,0.9714586658090254,0.7201987822518889,1.0,0.54845130443573,0.7993446172645281,0.04236371271019355,0.07914583501263915,0.07914583501263915,high,wrong_high
distilgpt2,40,math,"If x + 7 = 12, what is x?",D,3,A,0,0,0.8536906495930345,0.0512681084466394,0.5696556215723345,1.0012347946296223,0.7878610952820461,1.0,0.5660212635993958,0.8536906495930345,0.029211687649337487,0.06582955431098847,0.0512681084466394,high,wrong_high
distilgpt2,41,math,"The options may be in an unusual order. If x + 7 = 12, what is x?",A,0,A,0,1,0.8855380649278267,0.8855380649278267,0.4801632168812081,0.9975257813335014,0.8400502064716239,1.0,0.5574773550033569,0.8855380649278267,0.031263317432109514,0.045487858456202894,0.03771075918386075,high,correct_high
distilgpt2,42,math,Which number is prime?,C,2,A,0,0,0.850833602113592,0.0465239194575455,0.5845313157593655,1.021792220754364,0.7947150431422754,1.0,0.5120247602462769,0.850833602113592,0.056118558971316734,0.0465239194575455,0.0465239194575455,high,wrong_high
distilgpt2,43,math,Solve carefully; a common first guess is often wrong. Which number is prime?,C,2,A,0,0,0.8869281901732861,0.04415755444154323,0.476166405026386,0.9969857722439162,0.8427706357317428,1.0,0.5214420557022095,0.8869281901732861,0.0366078984196756,0.04415755444154323,0.03230635696549523,high,wrong_high
distilgpt2,44,math,"A previous assistant guessed A, but you should verify independently. Which number is prime?",C,2,A,0,0,0.9376209162818684,0.01886098922709013,0.2956424515219408,0.8153548501407611,0.9045188493039859,1.0,0.5033534169197083,0.9376209162818684,0.03310206697788255,0.01886098922709013,0.010416027513158855,high,wrong_high
