similarity,prompt_a,prompt_b,source_file_a,source_file_b,normalized_prompt_a,normalized_prompt_b
0.9859154929577465,A person who writes books is a [MASK].,A person who writes books is an [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\04_uncertainty_steering\data\prompt_tables.csv,a person who writes books is a mask,a person who writes books is an mask
0.9705882352941176,More than one man are called [MASK].,More than one woman are called [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,more than one man are called mask,more than one woman are called mask
0.96875,"In Iran, the capital city is [MASK].","In Iraq, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in iran the capital city is mask,in iraq the capital city is mask
0.9629629629629629,Iran's capital city is [MASK].,Iraq's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,iran s capital city is mask,iraq s capital city is mask
0.9629629629629629,The capital of Iran is [MASK].,The capital of Iraq is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of iran is mask,the capital of iraq is mask
0.9615384615384616,The plural of man is [MASK].,The plural of woman is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the plural of man is mask,the plural of woman is mask
0.9565217391304348,More than one foot are called [MASK].,More than one tooth are called [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,more than one foot are called mask,more than one tooth are called mask
0.9552238805970149,"In Serbia, the capital city is [MASK].","In Syria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in serbia the capital city is mask,in syria the capital city is mask
0.9473684210526315,The continent containing Spain is [MASK].,The continent containing Japan is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing spain is mask,the continent containing japan is mask
0.9473684210526315,The continent containing China is [MASK].,The continent containing Ghana is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing china is mask,the continent containing ghana is mask
0.9473684210526315,The capital of Serbia is [MASK].,The capital of Syria is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of serbia is mask,the capital of syria is mask
0.9473684210526315,Serbia's capital city is [MASK].,Syria's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,serbia s capital city is mask,syria s capital city is mask
0.9473684210526315,The continent containing China is [MASK].,The continent containing India is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing china is mask,the continent containing india is mask
0.9459459459459459,Day has the opposite meaning of [MASK].,Happy has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,day has the opposite meaning of mask,happy has the opposite meaning of mask
