model,task_id,task_type,step_id,goal,state,hazard,gold_action,chosen_action,immediate_correct,needs_external_support,should_retrieve,should_clarify,should_verify,should_not_act,confidence,entropy,varentropy,margin,self_consistency,chosen_action_consistency,verbalized_confidence,verbalized_confidence_label,future_failure,pre_failure_after_correct
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,0,Choose a product for a user.,The user asks for the best laptop but gives no budget or use case.,needs preferences,C,B,0,1,0,1,0,0,0.272413075837641,1.649722931489226,0.24361753682723197,0.016504673914563006,0.5,0.25,0.4641639366249401,low,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,1,Choose a product for a user.,Budget and use case are known but current prices are unknown.,needs retrieval,B,B,1,1,1,0,0,0,0.3589377924845053,1.5542200028975532,0.3901441299840021,0.09219787456255968,0.75,0.75,0.47266700906341313,low,1,1
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,2,Choose a product for a user.,Prices are known; two options trade battery for performance.,needs comparison,A,B,0,0,0,0,0,0,0.2758584485002329,1.6520836864709914,0.24045383710866233,0.00848727220272616,0.5,0.5,0.47818987203086527,medium,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,3,Choose a product for a user.,"A recommendation is selected, but availability changed in one source.",needs verification,D,B,0,1,0,0,1,0,0.3444745575021148,1.610974720094,0.3264400073187101,0.09245158745908894,0.75,0.75,0.4847869461112654,medium,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,4,Choose a product for a user.,Availability and constraints are verified.,ready to answer,E,B,0,0,0,0,0,0,0.3128618202433243,1.6150011250773384,0.32377760138898054,0.014326985839890283,0.5,0.5,0.4741450062895636,medium,1,0
Qwen/Qwen2.5-0.5B,coding_patch,coding,0,Fix a failing parser test in a repository.,"A test failed with a stack trace, but no source file has been inspected yet.",needs file inspection,B,B,1,1,1,0,0,0,0.41973579135759626,1.4886846720326654,0.5182213923879282,0.15293548958172531,1.0,1.0,0.4947406518630271,low,1,1
Qwen/Qwen2.5-0.5B,coding_patch,coding,1,Fix a failing parser test in a repository.,The relevant parser function is visible. The error is an off-by-one in token indexing.,local reasoning possible,A,B,0,0,0,0,0,0,0.37756844592959066,1.5277049357102948,0.44333921275800986,0.09256483048049041,1.0,1.0,0.49931174368965986,low,1,0
Qwen/Qwen2.5-0.5B,coding_patch,coding,2,Fix a failing parser test in a repository.,A patch has been drafted but no tests have been run.,needs verification,D,B,0,1,0,0,1,0,0.3101517569844314,1.6711653376614928,0.22399555566351617,0.07603692818611188,0.75,0.75,0.4869241744077599,low,1,0
Qwen/Qwen2.5-0.5B,coding_patch,coding,3,Fix a failing parser test in a repository.,Tests pass for parser cases but formatting has not been checked.,needs verification,D,B,0,1,0,0,1,0,0.31238006256381934,1.6805112133475713,0.21210452277339653,0.09086942892963373,0.75,0.75,0.4918941043235435,low,1,0
Qwen/Qwen2.5-0.5B,coding_patch,coding,4,Fix a failing parser test in a repository.,Tests and formatting pass. The final response should summarize the change.,ready to answer,E,B,0,0,0,0,0,0,0.29092365641238394,1.659590647947834,0.23992281212169742,0.01762617329713101,0.75,0.75,0.49328221517360776,low,1,0
