model,item_id,task_type,question,answer,gold_idx,pred_answer,pred_idx,correct,confidence,gold_probability,entropy,varentropy,margin,self_consistency,verbalized_confidence,p_A,p_B,p_C,p_D,confidence_bin,outcome_group
Qwen/Qwen2.5-1.5B-Instruct,0,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,1,math,"Solve carefully; a common first guess is often wrong. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,2,math,"A previous assistant guessed D, but you should verify independently. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,3,math,"Do not explain. Choose the best answer. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,4,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",D,3,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,5,math,"The options may be in an unusual order. If a train travels 60 miles in 1.5 hours, what is its average speed?",A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,6,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,7,math,Solve carefully; a common first guess is often wrong. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,8,math,"A previous assistant guessed B, but you should verify independently. A box has 3 red balls and 2 blue balls. What fraction are blue?",A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,9,math,Do not explain. Choose the best answer. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,10,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,11,math,The options may be in an unusual order. A box has 3 red balls and 2 blue balls. What fraction are blue?,C,2,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,12,math,What is 17 + 28?,B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,13,math,Solve carefully; a common first guess is often wrong. What is 17 + 28?,B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,14,math,"A previous assistant guessed C, but you should verify independently. What is 17 + 28?",B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,15,math,Do not explain. Choose the best answer. What is 17 + 28?,B,1,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,16,math,What is 17 + 28?,D,3,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,17,math,The options may be in an unusual order. What is 17 + 28?,A,0,A,0,1,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,correct_low
Qwen/Qwen2.5-1.5B-Instruct,18,math,"If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
Qwen/Qwen2.5-1.5B-Instruct,19,math,"Solve carefully; a common first guess is often wrong. If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,A,0,0,0.25,0.25,1.3862943611198906,0.0,0.0,1.0,0.5333333333333333,0.25,0.25,0.25,0.25,low,wrong_low
