source_file,row_index,model,prompt_id,task,topic,fact_id,prompt,normalized_prompt
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,317,bert-base-uncased,355,,common,common:milk,A [MASK] produces milk.,a mask produces milk
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,637,distilbert-base-uncased,355,,common,common:milk,A [MASK] produces milk.,a mask produces milk
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,957,google/bert_uncased_L-2_H-128_A-2,355,,common,common:milk,A [MASK] produces milk.,a mask produces milk
experiments\02_local_perturbation_prediction\data\prompts.csv,317,,355,,common,common:milk,A [MASK] produces milk.,a mask produces milk
experiments\03_layerwise_k_structure\data\prompts.csv,317,,317,,common,common:milk,A [MASK] produces milk.,a mask produces milk
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,309,bert-base-uncased,347,,common,common:coffee,A common container for coffee is a [MASK].,a common container for coffee is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,629,distilbert-base-uncased,347,,common,common:coffee,A common container for coffee is a [MASK].,a common container for coffee is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,949,google/bert_uncased_L-2_H-128_A-2,347,,common,common:coffee,A common container for coffee is a [MASK].,a common container for coffee is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,309,,347,,common,common:coffee,A common container for coffee is a [MASK].,a common container for coffee is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,309,,309,,common,common:coffee,A common container for coffee is a [MASK].,a common container for coffee is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,284,bert-base-uncased,322,,animal_class,animal_class:dolphin,A dolphin is a [MASK].,a dolphin is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,604,distilbert-base-uncased,322,,animal_class,animal_class:dolphin,A dolphin is a [MASK].,a dolphin is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,924,google/bert_uncased_L-2_H-128_A-2,322,,animal_class,animal_class:dolphin,A dolphin is a [MASK].,a dolphin is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,284,,322,,animal_class,animal_class:dolphin,A dolphin is a [MASK].,a dolphin is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,284,,284,,animal_class,animal_class:dolphin,A dolphin is a [MASK].,a dolphin is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,278,bert-base-uncased,308,,animal_class,animal_class:eagle,A eagle is a [MASK].,a eagle is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,598,distilbert-base-uncased,308,,animal_class,animal_class:eagle,A eagle is a [MASK].,a eagle is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,918,google/bert_uncased_L-2_H-128_A-2,308,,animal_class,animal_class:eagle,A eagle is a [MASK].,a eagle is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,278,,308,,animal_class,animal_class:eagle,A eagle is a [MASK].,a eagle is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,278,,278,,animal_class,animal_class:eagle,A eagle is a [MASK].,a eagle is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,311,bert-base-uncased,349,,common,common:sleep,A person sleeps in a [MASK].,a person sleeps in a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,631,distilbert-base-uncased,349,,common,common:sleep,A person sleeps in a [MASK].,a person sleeps in a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,951,google/bert_uncased_L-2_H-128_A-2,349,,common,common:sleep,A person sleeps in a [MASK].,a person sleeps in a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,311,,349,,common,common:sleep,A person sleeps in a [MASK].,a person sleeps in a mask
experiments\03_layerwise_k_structure\data\prompts.csv,311,,311,,common,common:sleep,A person sleeps in a [MASK].,a person sleeps in a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,270,bert-base-uncased,300,,role,role:acts_in_films,A person who acts in films is a [MASK].,a person who acts in films is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,590,distilbert-base-uncased,300,,role,role:acts_in_films,A person who acts in films is a [MASK].,a person who acts in films is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,910,google/bert_uncased_L-2_H-128_A-2,300,,role,role:acts_in_films,A person who acts in films is a [MASK].,a person who acts in films is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,270,,300,,role,role:acts_in_films,A person who acts in films is a [MASK].,a person who acts in films is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,270,,270,,role,role:acts_in_films,A person who acts in films is a [MASK].,a person who acts in films is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,260,bert-base-uncased,290,,role,role:cooks_food,A person who cooks food is a [MASK].,a person who cooks food is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,580,distilbert-base-uncased,290,,role,role:cooks_food,A person who cooks food is a [MASK].,a person who cooks food is a mask
