model,layer,subspace,scalar_distance_z,rho_abs_diff,left_prompt_id,right_prompt_id,left_condition,right_condition,left_rho,right_rho,left_prompt,right_prompt,left_target,right_target,left_final_top1,right_final_top1,left_final_top8,right_final_top8,left_entropy_topk,right_entropy_topk,absdiff_entropy_topk,left_varentropy_topk,right_varentropy_topk,absdiff_varentropy_topk,left_trace_fim,right_trace_fim,absdiff_trace_fim,left_grad_norm_sq,right_grad_norm_sq,absdiff_grad_norm_sq,left_top1_prob_topk_layer,right_top1_prob_topk_layer,absdiff_top1_prob_topk_layer
bert-base-uncased,11,state_1d,0.4046762185720428,0.9770565760325095,97,213,correct,error,7.02277700072875e-05,0.9771268038025168,Jamaica's capital city is [MASK].,[MASK] is often called the red planet.,kingston,mars,kingston,it,kingston santiago georgetown jamaica montreal salvador victoria manchester,it this he she earth mars pluto venus,0.1586783191950561,0.161513580234029,0.002835261038972914,0.9126959910606038,0.6475596677257518,0.26513632333485204,1.955231073510565e-06,8.669524887539648e-06,6.714293814029083e-06,1.2532367213396124e-10,5.485623739380211e-06,5.485498415708077e-06,0.9791160790823656,0.97198118420093,0.007134894881435594
bert-base-uncased,11,state_1d,0.33062491736102845,0.9770388748072433,83,213,correct,error,8.792899527357199e-05,0.9771268038025168,"In Thailand, the capital city is [MASK].",[MASK] is often called the red planet.,bangkok,mars,bangkok,it,bangkok mai tak saigon thailand thai ava siam,it this he she earth mars pluto venus,0.0985013367161247,0.161513580234029,0.06301224351790431,0.630867367664153,0.6475596677257518,0.01669230006159883,5.568168957224775e-07,8.669524887539648e-06,8.11270799181717e-06,3.088748724569396e-11,5.485623739380211e-06,5.485592851892966e-06,0.9880178731416124,0.97198118420093,0.01603668894068233
bert-base-uncased,11,state_1d,0.28978991156201533,0.9769927417706855,94,213,correct,error,0.0001340620318313,0.9771268038025168,Cuba's capital city is [MASK].,[MASK] is often called the red planet.,havana,mars,havana,it,havana santiago guantanamo caracas castro leon cuba ponce,it this he she earth mars pluto venus,0.1229480732922704,0.161513580234029,0.038565506941758615,0.6524132638148046,0.6475596677257518,0.004853596089052781,1.565550639122324e-06,8.669524887539648e-06,7.103974248417324e-06,1.3692908273060145e-10,5.485623739380211e-06,5.485486810297481e-06,0.9823134443205922,0.97198118420093,0.010332260119662151
bert-base-uncased,11,delta_1d,0.446240953175389,0.9748186949433016,247,339,correct,error,0.9749758057289902,0.0001571107856886,Left has the opposite meaning of [MASK].,[MASK] is traditionally credited with the Odyssey.,right,homer,right,he,right left good free freedom no wrong yes,he homer she aristotle plato it paul alexander,0.3518820732907323,0.3277934312881979,0.02408864200253441,0.8388444665031446,1.1173530886571923,0.2785086221540477,0.0073462805075917,0.0019951240923917,0.0053511564152,0.0060081779898887,3.502404863917059e-07,0.006007827749402308,0.9074532169004816,0.9313600554321086,0.023906838531627006
bert-base-uncased,12,state_1d,0.6201088759155303,0.9737017275443475,57,221,correct,error,0.9740525792165344,0.000350851672187,The capital of Serbia is [MASK].,[MASK] is made by bees.,belgrade,honey,belgrade,it,belgrade sofia skopje serbia vis ruse sarajevo kosovo,it honey food this pollen bread flour seed,0.1716879329093734,0.4570424735439874,0.285354540634614,1.0354700410528117,1.442613128434301,0.4071430873814892,0.0001822969764358,0.0001608391594197,2.1457817016099992e-05,0.0001838651431879,8.140765140662595e-08,0.00018378373553649336,0.9784887238800324,0.8996883886614663,0.07880033521856611
bert-base-uncased,11,delta_1d,0.5739780966234564,0.9717751134952934,90,247,correct,correct,0.0032006922336968,0.9749758057289902,The capital of Chile is [MASK].,Left has the opposite meaning of [MASK].,santiago,right,santiago,right,santiago concepcion lima colon chile montevideo mendoza rosario,right left good free freedom no wrong yes,0.5770574807415549,0.3518820732907323,0.22517540745082265,0.8243757625817905,0.8388444665031446,0.014468703921354131,0.0009628009156157,0.0073462805075917,0.0063834795919759995,2.540420597507085e-06,0.0060081779898887,0.006005637569291193,0.8018472571920306,0.9074532169004816,0.10560595970845099
bert-base-uncased,11,state_1d,0.3735851075489412,0.9705545769920967,93,213,correct,error,0.0065722268104201,0.9771268038025168,The capital of Cuba is [MASK].,[MASK] is often called the red planet.,havana,mars,havana,it,havana santiago guantanamo caracas castro cuba ponce leon,it this he she earth mars pluto venus,0.0832091531489089,0.161513580234029,0.07830442708512012,0.4724066731970683,0.6475596677257518,0.1751529945286835,1.091624851768787e-06,8.669524887539648e-06,7.577900035770861e-06,3.389237326234764e-09,5.485623739380211e-06,5.482234502053977e-06,0.9886056046957344,0.97198118420093,0.016624420494804393
bert-base-uncased,11,state_1d,0.3343390693460408,0.9694266540410545,81,213,correct,error,0.0077001497614623,0.9771268038025168,The capital of Thailand is [MASK].,[MASK] is often called the red planet.,bangkok,mars,bangkok,it,bangkok hanoi saigon thailand siam ava tak thai,it this he she earth mars pluto venus,0.0897093529834932,0.161513580234029,0.07180422725053581,0.5924395682079884,0.6475596677257518,0.05512009951776342,6.971185671261054e-07,8.669524887539648e-06,7.972406320413543e-06,3.180166647891124e-09,5.485623739380211e-06,5.4824435727323204e-06,0.9893721466699018,0.97198118420093,0.01739096246897176
bert-base-uncased,11,state_1d,0.3548861252951012,0.9684335795211901,70,213,correct,error,0.0086932242813267,0.9771268038025168,Iraq's capital city is [MASK].,[MASK] is often called the red planet.,baghdad,mars,baghdad,it,baghdad saddam iraq amman iraqi kerman aleppo kurdistan,it this he she earth mars pluto venus,0.0755947958419569,0.161513580234029,0.08591878439207211,0.5108465073426312,0.6475596677257518,0.13671316038312065,1.1445190428254953e-06,8.669524887539648e-06,7.5250058447141525e-06,5.082698350318039e-09,5.485623739380211e-06,5.480541041029893e-06,0.9911837392164572,0.97198118420093,0.019202555015527145
bert-base-uncased,11,delta_1d,0.5019869651022908,0.9670005728610982,246,339,correct,error,0.9671576836467868,0.0001571107856886,The opposite of left is [MASK].,[MASK] is traditionally credited with the Odyssey.,right,homer,right,he,right left correct opposite straight up center forward,he homer she aristotle plato it paul alexander,0.1775776853960603,0.3277934312881979,0.15021574589213757,0.7186853512831188,1.1173530886571923,0.39866773737407346,0.0032083419807146,0.0019951240923917,0.0012132178883229004,0.0022300609519136,3.502404863917059e-07,0.002229710711427208,0.9672289826474622,0.9313600554321086,0.03586892721535351
