prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model
0,The child looked at the [MASK].,ambiguous_open,open,ambiguous_open:152,extended,,,ambiguous,child,0.043372372397561,,distilbert-base-uncased
1,The plural of person is [MASK].,factual_deep,plural,plural:person,t0,people,2111.0,error,plural,0.1886338486062798,2724.0,distilbert-base-uncased
2,The opposite of yes is [MASK].,factual_simple,lexical,factual_simple:58,extended,no,2053.0,error,yes,0.2237807527921011,11.0,distilbert-base-uncased
3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,referee,0.0789421824455599,,distilbert-base-uncased
4,A person who treats patients is a [MASK].,factual_deep,role,role:treats_patients,t0,doctor,3460.0,error,physician,0.3268473935672567,2.0,distilbert-base-uncased
5,The capital of Japan is [MASK].,factual_simple,capital,factual_simple:3,extended,tokyo,5522.0,correct,tokyo,0.3343694416099434,1.0,distilbert-base-uncased
6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous_open:102,extended,,,ambiguous,docks,0.0287543692195109,,distilbert-base-uncased
7,Grass is usually [MASK].,factual_deep,common,common:grass,t0,green,2665.0,error,cultivated,0.0913948242118092,2.0,distilbert-base-uncased
8,A person who drives a bus is a [MASK].,factual_simple,role,factual_simple:62,extended,driver,4062.0,correct,driver,0.2197778683715726,1.0,distilbert-base-uncased
9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous_open:120,extended,,,ambiguous,cafeteria,0.1280766923894612,,distilbert-base-uncased
10,The opposite of early is [MASK].,factual_deep,antonym,antonym:early,t0,late,2397.0,error,unknown,0.1163646995597212,326.0,distilbert-base-uncased
11,Ten divided by two equals [MASK].,factual_simple,math,factual_simple:53,extended,five,2274.0,error,zero,0.0636041060352724,4.0,distilbert-base-uncased
12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous_open:97,extended,,,ambiguous,land,0.2237091970059042,,distilbert-base-uncased
13,"In France, the capital city is [MASK].",factual_deep,capital,capital:france,t2,paris,3000.0,correct,paris,0.1313517355761828,1.0,distilbert-base-uncased
14,The capital of Austria is [MASK].,factual_simple,capital,factual_simple:9,extended,vienna,6004.0,correct,vienna,0.6184326150387426,1.0,distilbert-base-uncased
15,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,doctor,0.1064146653359362,,distilbert-base-uncased
16,The continent containing Egypt is [MASK].,factual_deep,continent,continent:egypt,t1,africa,3088.0,error,unknown,0.079484517425936,6.0,distilbert-base-uncased
18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous_open:107,extended,,,ambiguous,sky,0.0445134727302393,,distilbert-base-uncased
19,Charles Darwin is associated with [MASK].,factual_deep,culture,culture:darwin,t0,evolution,6622.0,error,darwin,0.089504695614091,2.0,distilbert-base-uncased
20,The language of Germany is [MASK].,factual_simple,language,factual_simple:78,extended,german,2446.0,correct,german,0.5164202244504769,1.0,distilbert-base-uncased
21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,room,0.0493793949515553,,distilbert-base-uncased
22,The currency of Spain is the [MASK].,factual_deep,currency,currency:spain,t0,euro,9944.0,correct,euro,0.8348186418446453,1.0,distilbert-base-uncased
23,The color of grass is usually [MASK].,factual_simple,common,factual_simple:66,extended,green,2665.0,error,yellow,0.1405829374384127,16.0,distilbert-base-uncased
0,The child looked at the [MASK].,ambiguous_open,open,ambiguous_open:152,extended,,,ambiguous,child,0.0927032390596013,,bert-base-uncased
1,The plural of person is [MASK].,factual_deep,plural,plural:person,t0,people,2111.0,error,plural,0.1119863904426234,754.0,bert-base-uncased
2,The opposite of yes is [MASK].,factual_simple,lexical,factual_simple:58,extended,no,2053.0,error,yes,0.2072274165942524,2.0,bert-base-uncased
3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,coach,0.1700283273707056,,bert-base-uncased
4,A person who treats patients is a [MASK].,factual_deep,role,role:treats_patients,t0,doctor,3460.0,correct,doctor,0.4224246651965174,1.0,bert-base-uncased
5,The capital of Japan is [MASK].,factual_simple,capital,factual_simple:3,extended,tokyo,5522.0,correct,tokyo,0.57073181065044,1.0,bert-base-uncased
6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous_open:102,extended,,,ambiguous,river,0.1287070713079973,,bert-base-uncased
