prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model,init_state
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,coach,0.24380291689181233,,bert-base-uncased,pretrained
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,correct,water,0.23124366709858446,1.0,bert-base-uncased,pretrained
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,baby,0.10727378909809383,,bert-base-uncased,pretrained
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,hot,0.7494102919120872,2.0,bert-base-uncased,pretrained
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,correct,sides,0.4515196617750361,1.0,bert-base-uncased,pretrained
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,way,0.2187248187633147,,bert-base-uncased,pretrained
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,correct,flower,0.6288795506975128,1.0,bert-base-uncased,pretrained
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,hot,0.46072004112893544,2.0,bert-base-uncased,pretrained
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,door,0.11272943220959215,,bert-base-uncased,pretrained
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,zero,0.22693633476982125,42.0,bert-base-uncased,pretrained
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,cook,0.4101715398295352,3.0,bert-base-uncased,pretrained
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,money,0.2773318904098064,,bert-base-uncased,pretrained
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,correct,scientist,0.7225536362157712,1.0,bert-base-uncased,pretrained
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,correct,brussels,0.8205154752594213,1.0,bert-base-uncased,pretrained
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,evening,0.17316522800105755,,bert-base-uncased,pretrained
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,correct,euro,0.8399590228219134,1.0,bert-base-uncased,pretrained
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,table,0.41243909788174427,,bert-base-uncased,pretrained
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,correct,rome,0.25711044908592473,1.0,bert-base-uncased,pretrained
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,doctor,0.38430530689772713,,bert-base-uncased,pretrained
22,The plural of goose is [MASK].,factual_deep,plural,plural:goose,t0,geese,28519.0,error,goose,0.9195805636410463,4.0,bert-base-uncased,pretrained
