prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,referee,0.16265631835183864,,distilbert-base-uncased
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,correct,water,0.20065635246825153,1.0,distilbert-base-uncased
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,torch,0.14051555615462114,,distilbert-base-uncased
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,hot,0.5206841877763373,3.0,distilbert-base-uncased
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,error,vertices,0.31475071758319484,2.0,distilbert-base-uncased
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,room,0.08498049678413322,,distilbert-base-uncased
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,correct,flower,0.5595197774321466,1.0,distilbert-base-uncased
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,hot,0.575991651072396,2.0,distilbert-base-uncased
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,screen,0.12427717000925963,,distilbert-base-uncased
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,zero,0.1937868129699782,141.0,distilbert-base-uncased
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,vegetarian,0.597414327072993,3.0,distilbert-base-uncased
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,money,0.10404030472556172,,distilbert-base-uncased
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,correct,scientist,0.18701677213171464,1.0,distilbert-base-uncased
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,correct,brussels,0.679935740622927,1.0,distilbert-base-uncased
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,hague,0.5977985127344855,,distilbert-base-uncased
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,correct,euro,0.9125761659651013,1.0,distilbert-base-uncased
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,table,0.29455499625682174,,distilbert-base-uncased
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,error,turin,0.19482290842376782,2.0,distilbert-base-uncased
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,doctor,0.20071175749259723,,distilbert-base-uncased
22,The plural of goose is [MASK].,factual_deep,plural,plural:goose,t0,geese,28519.0,error,goose,0.4399338952585389,4.0,distilbert-base-uncased
23,The language of Italy is [MASK].,factual_simple,language,factual_simple:79,extended,italian,3059.0,correct,italian,0.7163597508877111,1.0,distilbert-base-uncased
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,coach,0.24380291689181233,,bert-base-uncased
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,correct,water,0.23124366709858446,1.0,bert-base-uncased
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,baby,0.10727378909809383,,bert-base-uncased
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,hot,0.7494102919120872,2.0,bert-base-uncased
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,correct,sides,0.4515196617750361,1.0,bert-base-uncased
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,way,0.2187248187633147,,bert-base-uncased
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,correct,flower,0.6288795506975128,1.0,bert-base-uncased
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,hot,0.46072004112893544,2.0,bert-base-uncased
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,door,0.11272943220959215,,bert-base-uncased
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,zero,0.22693633476982125,42.0,bert-base-uncased
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,cook,0.4101715398295352,3.0,bert-base-uncased
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,money,0.2773318904098064,,bert-base-uncased
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,correct,scientist,0.7225536362157712,1.0,bert-base-uncased
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,correct,brussels,0.8205154752594213,1.0,bert-base-uncased
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,evening,0.17316522800105755,,bert-base-uncased
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,correct,euro,0.8399590228219134,1.0,bert-base-uncased
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,table,0.41243909788174427,,bert-base-uncased
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,correct,rome,0.25711044908592473,1.0,bert-base-uncased
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,doctor,0.38430530689772713,,bert-base-uncased
