model,prompt_id,prompt,target,target_id,topic,fact_id,template_id,prompt_observed_condition,target_rank_final,final_top1_token,final_top1_prob_topk,final_top8_tokens
bert-base-uncased,0,The capital of France is [MASK].,paris,3000,capital,capital:france,t0,correct,1,paris,0.4595853451331126,paris lille lyon marseille tours toulouse orleans nantes
bert-base-uncased,1,France's capital city is [MASK].,paris,3000,capital,capital:france,t1,correct,1,paris,0.4580219040772423,paris lyon lille tours marseille toulouse orleans nancy
bert-base-uncased,2,"In France, the capital city is [MASK].",paris,3000,capital,capital:france,t2,correct,1,paris,0.3080682627030683,paris lille lyon marseille toulouse bordeaux montpellier tours
bert-base-uncased,3,The capital of Germany is [MASK].,berlin,4068,capital,capital:germany,t0,error,2,bonn,0.1528655858176344,bonn berlin leipzig hamburg hanover munich kassel frankfurt
bert-base-uncased,4,Germany's capital city is [MASK].,berlin,4068,capital,capital:germany,t1,correct,1,berlin,0.1782350558389598,berlin leipzig bonn munich hamburg stuttgart dresden hanover
bert-base-uncased,5,"In Germany, the capital city is [MASK].",berlin,4068,capital,capital:germany,t2,error,3,bonn,0.121316075759242,bonn hamburg berlin hanover leipzig cologne munich bremen
bert-base-uncased,6,The capital of Italy is [MASK].,rome,4199,capital,capital:italy,t0,correct,1,rome,0.2303414753049366,rome milan turin naples florence bologna genoa bari
bert-base-uncased,7,Italy's capital city is [MASK].,rome,4199,capital,capital:italy,t1,correct,1,rome,0.2571104828617295,rome milan florence turin naples bologna genoa pisa
bert-base-uncased,8,"In Italy, the capital city is [MASK].",rome,4199,capital,capital:italy,t2,correct,1,rome,0.2952793223028817,rome milan turin florence genoa naples pisa bologna
bert-base-uncased,9,The capital of Spain is [MASK].,madrid,6921,capital,capital:spain,t0,correct,1,madrid,0.6678415986175277,madrid barcelona seville valencia malaga toledo leon bilbao
bert-base-uncased,10,Spain's capital city is [MASK].,madrid,6921,capital,capital:spain,t1,correct,1,madrid,0.7088000405463822,madrid barcelona seville valencia malaga bilbao toledo granada
bert-base-uncased,11,"In Spain, the capital city is [MASK].",madrid,6921,capital,capital:spain,t2,correct,1,madrid,0.5461202651868724,madrid barcelona seville valencia toledo malaga leon bilbao
bert-base-uncased,12,The capital of Japan is [MASK].,tokyo,5522,capital,capital:japan,t0,correct,1,tokyo,0.5821880394470828,tokyo osaka kyoto nara kobe nagasaki edo nagoya
bert-base-uncased,13,Japan's capital city is [MASK].,tokyo,5522,capital,capital:japan,t1,correct,1,tokyo,0.762501246076855,tokyo kyoto osaka kobe nara edo nagoya yokohama
bert-base-uncased,14,"In Japan, the capital city is [MASK].",tokyo,5522,capital,capital:japan,t2,correct,1,tokyo,0.6318483479679395,tokyo kyoto osaka kobe nara nagoya edo hokkaido
bert-base-uncased,15,The capital of China is [MASK].,beijing,7211,capital,capital:china,t0,correct,1,beijing,0.5548330001454316,beijing nanjing shanghai guangzhou shenzhen tianjin peking taipei
bert-base-uncased,16,China's capital city is [MASK].,beijing,7211,capital,capital:china,t1,correct,1,beijing,0.6260051331069285,beijing nanjing shanghai guangzhou shenzhen peking tianjin canton
bert-base-uncased,17,"In China, the capital city is [MASK].",beijing,7211,capital,capital:china,t2,correct,1,beijing,0.6351228346760256,beijing nanjing shanghai guangzhou peking shenzhen tianjin sichuan
bert-base-uncased,18,The capital of Russia is [MASK].,moscow,4924,capital,capital:russia,t0,correct,1,moscow,0.7075634065357963,moscow kazan tbilisi helsinki vladimir sofia petersburg leningrad
bert-base-uncased,19,Russia's capital city is [MASK].,moscow,4924,capital,capital:russia,t1,correct,1,moscow,0.7906327340242252,moscow kazan vladimir helsinki tbilisi sofia leningrad petersburg
bert-base-uncased,20,"In Russia, the capital city is [MASK].",moscow,4924,capital,capital:russia,t2,correct,1,moscow,0.8289501322884019,moscow kazan vladimir leningrad helsinki tbilisi kiev petersburg
bert-base-uncased,21,The capital of Egypt is [MASK].,cairo,11096,capital,capital:egypt,t0,correct,1,cairo,0.7396393848677814,cairo alexandria memphis egypt suez acre tunis mecca
bert-base-uncased,22,Egypt's capital city is [MASK].,cairo,11096,capital,capital:egypt,t1,correct,1,cairo,0.7678588381395336,cairo alexandria suez egypt memphis tunis male acre
bert-base-uncased,23,"In Egypt, the capital city is [MASK].",cairo,11096,capital,capital:egypt,t2,correct,1,cairo,0.7782482035647198,cairo alexandria memphis suez egypt nile acre tunis
bert-base-uncased,24,The capital of Greece is [MASK].,athens,7571,capital,capital:greece,t0,correct,1,athens,0.6912735804032829,athens thessaloniki olympia rhodes sparta tirana constantinople crete
bert-base-uncased,25,Greece's capital city is [MASK].,athens,7571,capital,capital:greece,t1,correct,1,athens,0.6344808318631397,athens thessaloniki olympia rhodes crete sparta tirana tripoli
bert-base-uncased,26,"In Greece, the capital city is [MASK].",athens,7571,capital,capital:greece,t2,correct,1,athens,0.5973416761308507,athens thessaloniki olympia rhodes crete sparta tripoli tirana
bert-base-uncased,27,The capital of Portugal is [MASK].,lisbon,11929,capital,capital:portugal,t0,correct,1,lisbon,0.757518926635895,lisbon porto madeira vila maia palma benfica madrid
bert-base-uncased,28,Portugal's capital city is [MASK].,lisbon,11929,capital,capital:portugal,t1,correct,1,lisbon,0.8116118773375791,lisbon porto madeira maia benfica almeida pau fatima
bert-base-uncased,29,"In Portugal, the capital city is [MASK].",lisbon,11929,capital,capital:portugal,t2,correct,1,lisbon,0.8103176387816816,lisbon porto madeira maia benfica vila pau santiago
bert-base-uncased,30,The capital of Austria is [MASK].,vienna,6004,capital,capital:austria,t0,correct,1,vienna,0.6621020155629832,vienna salzburg graz innsbruck wien tyrol austria budapest
bert-base-uncased,31,Austria's capital city is [MASK].,vienna,6004,capital,capital:austria,t1,correct,1,vienna,0.6333104437476235,vienna salzburg graz innsbruck wien tyrol ljubljana budapest
bert-base-uncased,32,"In Austria, the capital city is [MASK].",vienna,6004,capital,capital:austria,t2,correct,1,vienna,0.5135650492524422,vienna salzburg graz innsbruck wien tyrol ljubljana budapest
bert-base-uncased,33,The capital of Belgium is [MASK].,brussels,9371,capital,capital:belgium,t0,correct,1,brussels,0.8205152690093438,brussels antwerp liege ghent mons belgium luxembourg lille
bert-base-uncased,34,Belgium's capital city is [MASK].,brussels,9371,capital,capital:belgium,t1,correct,1,brussels,0.8101786958875614,brussels antwerp liege ghent mons lille belgium luxembourg
bert-base-uncased,35,"In Belgium, the capital city is [MASK].",brussels,9371,capital,capital:belgium,t2,correct,1,brussels,0.6562720135061584,brussels antwerp liege ghent mons lille luxembourg belgium
bert-base-uncased,36,The capital of Finland is [MASK].,helsinki,12331,capital,capital:finland,t0,correct,1,helsinki,0.9960782218167288,helsinki stockholm tallinn finland riga hamilton oslo leningrad
bert-base-uncased,37,Finland's capital city is [MASK].,helsinki,12331,capital,capital:finland,t1,correct,1,helsinki,0.9971217386844952,helsinki tallinn stockholm oslo finland hamilton ##borg ##puri
bert-base-uncased,38,"In Finland, the capital city is [MASK].",helsinki,12331,capital,capital:finland,t2,correct,1,helsinki,0.9968807193489916,helsinki tallinn stockholm oslo hamilton finland vilnius gothenburg
