model,item_id,task_type,question,answer,gold_idx,pred_answer,pred_idx,correct,confidence,gold_probability,entropy,varentropy,margin,self_consistency,verbalized_confidence,p_A,p_B,p_C,p_D,global_confidence_bin,confidence_bin,outcome_group
Qwen/Qwen2.5-0.5B,0,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.39335513279138107,0.2385819481933069,1.3131201576320268,0.13561371465010996,0.1510160656038822,1.0,0.36849814653396606,0.39335513279138107,0.2385819481933069,0.24233906718749887,0.1257238518278131,low,high,wrong_high
Qwen/Qwen2.5-0.5B,1,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,B,1,0,0.35834410658292454,0.34731901747890376,1.283334132534888,0.16995342177520664,0.01102508910402078,1.0,0.5125404596328735,0.34731901747890376,0.35834410658292454,0.09950856454847412,0.19482831138969756,low,low,wrong_low
Qwen/Qwen2.5-0.5B,2,math,What is 17 + 28?,B,1,C,2,0,0.3694823112732654,0.220627965108126,1.349193700671348,0.07750587535523255,0.1453799612645432,1.0,0.5414505004882812,0.22410235000872222,0.220627965108126,0.3694823112732654,0.1857873736098864,low,high,wrong_high
Qwen/Qwen2.5-0.5B,3,math,"If 4 notebooks cost 12 dollars, how much do 7 notebooks cost at the same rate?",C,2,C,2,1,0.25782641860807276,0.25782641860807276,1.3858729250835982,0.0008369772588862874,0.0039972281225602035,0.6666666666666666,0.5543001890182495,0.25382919048551256,0.24989393364095422,0.25782641860807276,0.2384504572654605,low,low,correct_low
Qwen/Qwen2.5-0.5B,4,math,A rectangle is 8 by 5. What is its area?,C,2,B,1,0,0.32508963411589914,0.24158610248625065,1.3709901630490822,0.03171200998056262,0.08350353162964849,1.0,0.5149657726287842,0.22343062017393736,0.32508963411589914,0.24158610248625065,0.20989364322391285,low,low,wrong_low
Qwen/Qwen2.5-0.5B,5,math,What is 15 percent of 200?,C,2,A,0,0,0.3249443632482435,0.2958652096095633,1.3472724110124337,0.0708246315363974,0.02907915363868019,0.3333333333333333,0.39496859908103943,0.3249443632482435,0.14877037021467993,0.2958652096095633,0.23042005692751324,low,low,wrong_low
Qwen/Qwen2.5-0.5B,6,math,"If x + 7 = 12, what is x?",B,1,A,0,0,0.3653099415994097,0.2672664626837131,1.3430439265780185,0.08681228674422392,0.09804347891569659,1.0,0.35286664962768555,0.3653099415994097,0.2672664626837131,0.18658206112115608,0.18084153459572103,low,high,wrong_high
Qwen/Qwen2.5-0.5B,7,math,Which number is prime?,C,2,C,2,1,0.6896391027450894,0.6896391027450894,0.9384085922500771,0.7563958715520109,0.5333365731918149,1.0,0.5575227737426758,0.062172850744956716,0.09188551695667938,0.6896391027450894,0.15630252955327445,high,low,correct_low
Qwen/Qwen2.5-0.5B,8,science,What gas do plants primarily take in for photosynthesis?,B,1,B,1,1,0.9847874975991527,0.9847874975991527,0.09471425868884935,0.40952579540638645,0.9773851227120002,1.0,0.5155470371246338,0.004087979668455224,0.9847874975991527,0.00740237488715258,0.003722147845239398,high,high,correct_high
Qwen/Qwen2.5-0.5B,9,science,What organ pumps blood through the human body?,C,2,C,2,1,0.9571838580564912,0.9571838580564912,0.21507210874994603,0.6716992999459195,0.9300306420625164,1.0,0.5619765520095825,0.0055165104315099585,0.010146415518023899,0.9571838580564912,0.027153215993974782,high,high,correct_high
Qwen/Qwen2.5-0.5B,10,science,Water freezes at what temperature at sea level?,A,0,A,0,1,0.625847624752591,0.625847624752591,0.9498454800529189,0.5865315536915037,0.35667391548918886,1.0,0.3612656891345978,0.625847624752591,0.03476050854722321,0.26917370926340217,0.07021815743678363,high,low,correct_low
Qwen/Qwen2.5-0.5B,11,science,Which planet is known as the Red Planet?,B,1,B,1,1,0.9474130864164241,0.9474130864164241,0.25682011412475664,0.7524668411033025,0.9192472377632717,1.0,0.5093855857849121,0.02816584865315239,0.9474130864164241,0.006795327226337854,0.017625737704085775,high,high,correct_high
Qwen/Qwen2.5-0.5B,12,science,What force pulls objects toward Earth?,C,2,C,2,1,0.9691298248394357,0.9691298248394357,0.1708487360481938,0.612419960575984,0.9561434777580706,1.0,0.559179425239563,0.012986347081365026,0.010599147581862221,0.9691298248394357,0.007284680497337164,high,high,correct_high
Qwen/Qwen2.5-0.5B,13,science,What particle has a negative electric charge?,C,2,C,2,1,0.4964881055942346,0.4964881055942346,1.1292551146425998,0.3971728866689161,0.16054744913245705,1.0,0.5855848789215088,0.33594065646177756,0.08901541230369035,0.4964881055942346,0.07855582564029742,low,low,correct_low
Qwen/Qwen2.5-0.5B,14,commonsense,Which object is best for cutting paper?,B,1,B,1,1,0.9103775585285634,0.9103775585285634,0.3964376402164617,0.9370043428251329,0.8691086493140338,1.0,0.5133065581321716,0.020429591488180555,0.9103775585285634,0.041268909214529664,0.027923940768726424,high,high,correct_high
Qwen/Qwen2.5-0.5B,15,commonsense,"If it is raining, what should you bring to stay dry?",A,0,A,0,1,0.8292218615615828,0.8292218615615828,0.5864142154698531,0.8698028829730696,0.7040280855758072,1.0,0.3643995523452759,0.8292218615615828,0.12519377598577558,0.028374411765534194,0.017209950687107362,high,low,correct_low
