model,prompt_id,case_id,prompt,target,task,topic,layer,top_m,entropy,varentropy,confidence,semantic_entropy_proxy,semantic_density_uncertainty,haloscope_style_consistency_risk,target_in_topm,target_top1_before
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,16,2.370026515019353,0.7712106134354642,0.21987704771029984,1.1311528847055174,0.335426894800264,0.6312405973916676,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:2:1:layer12,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,12,16,2.3929350692760267,0.610824865565154,0.1957477631825546,1.3616695738736417,0.32892156201331724,0.8260671082144416,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:4:2:layer12,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,12,16,2.304816649048871,0.8469306205623812,0.24607190463150558,1.2724258240161492,0.3202156973345014,0.7525436811583694,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:2:0:layer12,factual_completion:2:0,A person who teaches students is a,teacher,factual_completion,role,12,16,2.5540827536767474,0.4276785854789857,0.17492715327576885,1.3208908027187651,0.34169379633894703,0.7980057803827687,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:4:1:layer12,factual_completion:4:1,The currency used in Japan is the,yen,factual_completion,currency,12,16,2.6780391102193155,0.1957611583365163,0.1312883149245983,1.355419123765254,0.3792782838257318,0.8150803665917594,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:3:2:layer12,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,factual_completion,language,12,16,2.4465879455119826,0.7099951197737171,0.25203521864008344,1.3084800964574168,0.366484070254406,0.7837780461985748,0,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:2:0:layer12,generative_open:2:0,"When people want to celebrate, they often bring",,generative_open,common,12,16,1.811423407909447,1.7926124321914152,0.4841663650769991,0.8353313544634067,0.25199695858486093,0.4266515837225501,0,
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:4:1:layer12,generative_open:4:1,"In a school hallway, a student may notice the",,generative_open,scene,12,16,2.0145388645134465,1.2302514065093972,0.3228523519769053,1.164379996803429,0.28418079901847093,0.7036943594657896,0,
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:1:2:layer12,generative_open:1:2,A traveler entering a city might first see the,,generative_open,scene,12,16,2.224700732622128,0.9876933757940932,0.3073704379079509,1.3035922022511703,0.3177918432344571,0.7840741518486435,0,
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer23,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,23,16,2.251210035815316,1.1224063833542566,0.36243135109504765,1.1973366970126529,0.30724986710468294,0.6730189931724495,0,0.0
