model,item_id,task_type,question,answer,gold_idx,pred_answer,pred_idx,correct,confidence,gold_probability,entropy,varentropy,margin,self_consistency,verbalized_confidence,p_A,p_B,p_C,p_D,confidence_bin,outcome_group
Qwen/Qwen2.5-0.5B,0,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.39335513279138107,0.2385819481933069,1.3131201576320268,0.13561371465010996,0.1510160656038822,1.0,0.36849814653396606,0.39335513279138107,0.2385819481933069,0.24233906718749887,0.1257238518278131,low,wrong_low
Qwen/Qwen2.5-0.5B,1,math,"Solve carefully; a common first guess is often wrong. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.38060433002680616,0.2344835254892603,1.3310757424730233,0.10736590780938457,0.14242822630976232,1.0,0.43114173412323,0.38060433002680616,0.2344835254892603,0.23817610371704384,0.14673604076688965,low,wrong_low
Qwen/Qwen2.5-0.5B,2,math,"A previous assistant guessed D, but you should verify independently. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.29918629851449446,0.2366758423992583,1.3676594553772288,0.035214870061615854,0.013700738105316357,0.6666666666666666,0.43536806106567383,0.29918629851449446,0.2366758423992583,0.2854855604091781,0.17865229867706917,low,wrong_low
Qwen/Qwen2.5-0.5B,3,math,"Do not explain. Choose the best answer. If a train travels 60 miles in 1.5 hours, what is its average speed?",B,1,A,0,0,0.3952915374399903,0.21491628111441785,1.324321671596072,0.12358421721150922,0.15553510045769184,1.0,0.3953353762626648,0.3952915374399903,0.21491628111441785,0.23975643698229845,0.1500357444632932,low,wrong_low
Qwen/Qwen2.5-0.5B,4,math,"If a train travels 60 miles in 1.5 hours, what is its average speed?",D,3,A,0,0,0.3336781234191054,0.2257779120290974,1.3185021745873233,0.11433005299967589,0.01026619658360911,1.0,0.38636142015457153,0.3336781234191054,0.3234119268354963,0.11713203771630078,0.2257779120290974,low,wrong_low
Qwen/Qwen2.5-0.5B,5,math,"The options may be in an unusual order. If a train travels 60 miles in 1.5 hours, what is its average speed?",A,0,A,0,1,0.3296779650552687,0.3296779650552687,1.3525749864139707,0.06289901560971,0.047689458129024864,1.0,0.39795541763305664,0.3296779650552687,0.15818121631960205,0.28198850692624383,0.2301523116988855,low,correct_low
Qwen/Qwen2.5-0.5B,6,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,B,1,0,0.35834410658292454,0.34731901747890376,1.283334132534888,0.16995342177520664,0.01102508910402078,1.0,0.5125404596328735,0.34731901747890376,0.35834410658292454,0.09950856454847412,0.19482831138969756,low,wrong_low
Qwen/Qwen2.5-0.5B,7,math,Solve carefully; a common first guess is often wrong. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,A,0,1,0.3152881699742778,0.3152881699742778,1.3362061875224562,0.08635148674910047,0.0,0.6666666666666666,0.495280385017395,0.3152881699742778,0.3152881699742778,0.13143166331621828,0.23799199673522634,low,correct_low
Qwen/Qwen2.5-0.5B,8,math,"A previous assistant guessed B, but you should verify independently. A box has 3 red balls and 2 blue balls. What fraction are blue?",A,0,B,1,0,0.33556147989300733,0.31034363644012125,1.3184385681687996,0.11108130203033206,0.02521784345288608,1.0,0.5217514038085938,0.31034363644012125,0.33556147989300733,0.11239901658607745,0.2416958670807938,low,wrong_low
Qwen/Qwen2.5-0.5B,9,math,Do not explain. Choose the best answer. A box has 3 red balls and 2 blue balls. What fraction are blue?,A,0,B,1,0,0.3492525625650484,0.2941001440759471,1.3314386394309503,0.09848228383513707,0.055152418489101296,1.0,0.5061285495758057,0.2941001440759471,0.3492525625650484,0.13464885765980694,0.22199843569919758,low,wrong_low
Qwen/Qwen2.5-0.5B,10,math,A box has 3 red balls and 2 blue balls. What fraction are blue?,B,1,B,1,1,0.30713434221498914,0.30713434221498914,1.3770212118340552,0.01902094473503303,0.06417107974475603,0.3333333333333333,0.5091884732246399,0.2144143265718288,0.30713434221498914,0.24296326247023312,0.23548806874294897,low,correct_low
