model,prompt,target,task,topic,layer,subspace_family,sign,top1_token_before,top1_token_after,entropy_before,entropy_after,delta_entropy,confidence_before,confidence_after,delta_confidence,top10_jaccard,rho
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,23,state_pca,increase,gifts,gifts,1.4646139633749877,1.5393230667939881,0.07470910341900039,0.6548698750263716,0.6316726077572543,-0.023197267269117305,1.0,0.9211605557295216
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,23,delta_pca,increase,gifts,gifts,1.4646139633749877,1.5378314428723256,0.07321747949733792,0.6548698750263716,0.6319652202760033,-0.022904654750368292,1.0,0.9063696093264222
Qwen/Qwen2.5-0.5B,"In a school hallway, a student may notice the",,generative_open,scene,23,delta_pca,increase,following,following,0.8577626972639014,0.9305764737501612,0.07281377648625975,0.8058306068692005,0.785606475327344,-0.020224131541856538,1.0,0.9569866166041533
Qwen/Qwen2.5-0.5B,"In a school hallway, a student may notice the",,generative_open,scene,23,state_pca,increase,following,following,0.8577626972639014,0.9292965471768638,0.07153384991296241,0.8058306068692005,0.7864638894134729,-0.0193667174557276,1.0,0.9344112455098901
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,23,delta_pca,decrease,gifts,gifts,1.4646139633749877,1.3945637150490877,-0.07005024832590001,0.6548698750263716,0.6762338401883687,0.021363965161997123,1.0,0.9063696093264222
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,23,state_pca,decrease,gifts,gifts,1.4646139633749877,1.3947329336295462,-0.06988102974544153,0.6548698750263716,0.6760203796227431,0.021150504596371467,1.0,0.9211605557295216
microsoft/phi-2,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,16,delta_pca,increase,Answer,Answer,1.278392148402335,1.3477195899338679,0.06932744153153281,0.544674254867867,0.5258097974567453,-0.01886445741112175,1.0,0.8967717353862199
microsoft/phi-2,A traveler entering a city might first see the,,generative_open,scene,31,delta_pca,increase,city,city,1.753539124658019,1.820300791190926,0.06676166653290694,0.5607764135178019,0.5368948705631191,-0.02388154295468281,1.0,0.8854096083348607
microsoft/phi-2,A traveler entering a city might first see the,,generative_open,scene,31,delta_pca,decrease,city,city,1.753539124658019,1.6873449343201794,-0.06619419033783958,0.5607764135178019,0.5837868002068256,0.023010386689023665,1.0,0.8854096083348607
microsoft/phi-2,A traveler entering a city might first see the,,generative_open,scene,31,state_pca,increase,city,city,1.753539124658019,1.8193426869012344,0.06580356224321537,0.5607764135178019,0.537081324193911,-0.023695089323890972,1.0,0.8598241385167855
