pair_id,rho_group,match_distance,model,task,observed_condition,layer,subspace_family,prompt_id,prompt,target,target_id,rho,confidence,entropy,varentropy,margin,final_top1_token
bert-base-uncased:factual_deep:correct:4:delta_pca:0,low_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.2526696048273351,0.1311095391461732,3.101339656910148,0.7725146377120854,0.1307506561279297,paris
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor
bert-base-uncased:factual_deep:correct:4:delta_pca:1,low_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,delta_pca,10,The opposite of early is [MASK].,late,2397.0,0.3343894274128636,0.177591990585772,3.082453321940104,0.8537823326879781,0.5963630676269531,late
bert-base-uncased:factual_deep:correct:4:delta_pca:1,high_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,delta_pca,22,The currency of Spain is the [MASK].,euro,9944.0,0.6066571418022331,0.228489071718125,3.0779540004389143,0.992602982742766,1.2051234245300293,euro
bert-base-uncased:factual_deep:correct:4:state_pca:0,low_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,state_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.3665907217210833,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor
bert-base-uncased:factual_deep:correct:4:state_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,state_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.6590240099087538,0.1311095391461732,3.101339656910148,0.7725146377120854,0.1307506561279297,paris
bert-base-uncased:factual_deep:correct:4:state_pca:1,low_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,state_pca,10,The opposite of early is [MASK].,late,2397.0,0.4128773790437496,0.177591990585772,3.082453321940104,0.8537823326879781,0.5963630676269531,late
bert-base-uncased:factual_deep:correct:4:state_pca:1,high_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,state_pca,22,The currency of Spain is the [MASK].,euro,9944.0,0.6967216959680018,0.228489071718125,3.0779540004389143,0.992602982742766,1.2051234245300293,euro
bert-base-uncased:factual_deep:correct:8:delta_pca:0,low_rho,1.5090344630490777,bert-base-uncased,factual_deep,correct,8,delta_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.1827486500626069,0.1098919511715251,3.2771494593374126,0.4152677377097582,0.0923151969909668,paris
bert-base-uncased:factual_deep:correct:8:delta_pca:0,high_rho,1.5090344630490777,bert-base-uncased,factual_deep,correct,8,delta_pca,22,The currency of Spain is the [MASK].,euro,9944.0,0.2457540680343848,0.1135056723907431,3.189910982542067,0.6175466902935542,0.0175509452819824,euro
bert-base-uncased:factual_deep:correct:8:state_pca:0,low_rho,2.444774246586327,bert-base-uncased,factual_deep,correct,8,state_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.3421966492702847,0.1098919511715251,3.2771494593374126,0.4152677377097582,0.0923151969909668,paris
bert-base-uncased:factual_deep:correct:8:state_pca:0,high_rho,2.444774246586327,bert-base-uncased,factual_deep,correct,8,state_pca,10,The opposite of early is [MASK].,late,2397.0,0.4742697485834515,0.1088252506154937,3.1331868925653845,0.6351118646582122,0.0099916458129882,late
bert-base-uncased:factual_deep:correct:8:state_pca:1,low_rho,2.7475165532733072,bert-base-uncased,factual_deep,correct,8,state_pca,22,The currency of Spain is the [MASK].,euro,9944.0,0.3688301259637621,0.1135056723907431,3.189910982542067,0.6175466902935542,0.0175509452819824,euro
bert-base-uncased:factual_deep:correct:8:state_pca:1,high_rho,2.7475165532733072,bert-base-uncased,factual_deep,correct,8,state_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.7697406121185779,0.1417225442054322,3.2038672921255085,0.5574604450147423,0.6725540161132812,doctor
bert-base-uncased:factual_deep:correct:12:state_pca:0,low_rho,2.177933528999636,bert-base-uncased,factual_deep,correct,12,state_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.4296478753511893,0.3080677980275995,2.622865901583914,1.475505901665099,1.1764488220214844,paris
bert-base-uncased:factual_deep:correct:12:state_pca:0,high_rho,2.177933528999636,bert-base-uncased,factual_deep,correct,12,state_pca,10,The opposite of early is [MASK].,late,2397.0,0.8685109507689867,0.4015333597752354,2.025356088036202,2.6432301653483394,0.2370223999023437,late
bert-base-uncased:factual_deep:correct:12:state_pca:1,low_rho,2.0650746784551495,bert-base-uncased,factual_deep,correct,12,state_pca,22,The currency of Spain is the [MASK].,euro,9944.0,0.7999875459304334,0.6256217773113761,1.7421244154670823,3.1922913491330425,1.872126579284668,euro
bert-base-uncased:factual_deep:correct:12:state_pca:1,high_rho,2.0650746784551495,bert-base-uncased,factual_deep,correct,12,state_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.8887663873944276,0.4419683496519088,1.868310374039668,1.774703442077372,0.8478202819824219,doctor
bert-base-uncased:factual_deep:error:4:delta_pca:0,low_rho,0.9840336744887065,bert-base-uncased,factual_deep,error,4,delta_pca,1,The plural of person is [MASK].,people,2111.0,0.1629069877471785,0.0997671977458124,3.2449700647681388,0.4516894624530817,0.2775921821594238,plural
bert-base-uncased:factual_deep:error:4:delta_pca:0,high_rho,0.9840336744887065,bert-base-uncased,factual_deep,error,4,delta_pca,7,Grass is usually [MASK].,green,2665.0,0.4796389608333501,0.1294425569125747,3.1842409242349827,0.6421889629205578,0.019144058227539,present
bert-base-uncased:factual_deep:error:4:state_pca:0,low_rho,1.0524056055644595,bert-base-uncased,factual_deep,error,4,state_pca,7,Grass is usually [MASK].,green,2665.0,0.2263402093798097,0.1294425569125747,3.1842409242349827,0.6421889629205578,0.019144058227539,present
bert-base-uncased:factual_deep:error:4:state_pca:0,high_rho,1.0524056055644595,bert-base-uncased,factual_deep,error,4,state_pca,16,The continent containing Egypt is [MASK].,africa,3088.0,0.7240211396115268,0.137153232176211,3.219099561703701,0.5595167921134554,0.3136219978332519,unknown
bert-base-uncased:factual_deep:error:8:delta_pca:0,low_rho,0.9157768100604295,bert-base-uncased,factual_deep,error,8,delta_pca,16,The continent containing Egypt is [MASK].,africa,3088.0,0.3372003436943344,0.1168698348202669,3.167281129752069,0.6309031734677016,0.0868997573852539,unknown
bert-base-uncased:factual_deep:error:8:delta_pca:0,high_rho,0.9157768100604295,bert-base-uncased,factual_deep,error,8,delta_pca,1,The plural of person is [MASK].,people,2111.0,0.4519084583527667,0.1518961266578006,3.003195151638084,0.8928149707905995,0.1299080848693847,plural
bert-base-uncased:factual_deep:error:8:state_pca:0,low_rho,0.7323632536429742,bert-base-uncased,factual_deep,error,8,state_pca,16,The continent containing Egypt is [MASK].,africa,3088.0,0.0927789460406582,0.1168698348202669,3.167281129752069,0.6309031734677016,0.0868997573852539,unknown
bert-base-uncased:factual_deep:error:8:state_pca:0,high_rho,0.7323632536429742,bert-base-uncased,factual_deep,error,8,state_pca,7,Grass is usually [MASK].,green,2665.0,0.3661201091382702,0.0916457431225393,3.308898691703475,0.3349914275296367,0.0962400436401367,present
bert-base-uncased:factual_deep:error:8:state_pca:1,low_rho,2.5307824402504147,bert-base-uncased,factual_deep,error,8,state_pca,1,The plural of person is [MASK].,people,2111.0,0.3388003801695769,0.1518961266578006,3.003195151638084,0.8928149707905995,0.1299080848693847,plural
bert-base-uncased:factual_deep:error:8:state_pca:1,high_rho,2.5307824402504147,bert-base-uncased,factual_deep,error,8,state_pca,19,Charles Darwin is associated with [MASK].,evolution,6622.0,0.8623759842919329,0.2351034011211809,2.768816645188988,1.3602328179047205,0.6473388671875,it
bert-base-uncased:factual_deep:error:12:state_pca:0,low_rho,1.328827333764987,bert-base-uncased,factual_deep,error,12,state_pca,16,The continent containing Egypt is [MASK].,africa,3088.0,0.2066140562801989,0.1449947687137364,3.158173726328388,0.6476786283797241,0.567725658416748,unknown
bert-base-uncased:factual_deep:error:12:state_pca:0,high_rho,1.328827333764987,bert-base-uncased,factual_deep,error,12,state_pca,1,The plural of person is [MASK].,people,2111.0,0.7088600779762322,0.201933931861786,3.062319574604361,0.941281993406358,0.5861601829528809,plural
bert-base-uncased:factual_deep:error:12:state_pca:1,low_rho,2.4207902346371206,bert-base-uncased,factual_deep,error,12,state_pca,7,Grass is usually [MASK].,green,2665.0,0.4375726463194863,0.2114320152061835,2.843143768413375,1.060383294816933,0.5977010726928711,present
bert-base-uncased:factual_deep:error:12:state_pca:1,high_rho,2.4207902346371206,bert-base-uncased,factual_deep,error,12,state_pca,19,Charles Darwin is associated with [MASK].,evolution,6622.0,0.8242743255934535,0.261562130138194,2.7810251358569618,1.4978110810434329,0.4316663742065429,it
bert-base-uncased:factual_simple:correct:4:delta_pca:0,low_rho,1.5222549345878396,bert-base-uncased,factual_simple,correct,4,delta_pca,20,The language of Germany is [MASK].,german,2446.0,0.2119559548497102,0.1307114543439357,3.158742887428913,0.677449035325036,0.0010328292846679,german
bert-base-uncased:factual_simple:correct:4:delta_pca:0,high_rho,1.5222549345878396,bert-base-uncased,factual_simple,correct,4,delta_pca,14,The capital of Austria is [MASK].,vienna,6004.0,0.4010638373630638,0.1752889315139995,3.107146949724765,0.8707192569585702,0.2361087799072265,vienna
bert-base-uncased:factual_simple:correct:4:state_pca:0,low_rho,2.360495412848681,bert-base-uncased,factual_simple,correct,4,state_pca,8,A person who drives a bus is a [MASK].,driver,4062.0,0.2266897669276291,0.094945080102078,3.316848344954197,0.3211055279091481,0.1492481231689453,driver
bert-base-uncased:factual_simple:correct:4:state_pca:0,high_rho,2.360495412848681,bert-base-uncased,factual_simple,correct,4,state_pca,14,The capital of Austria is [MASK].,vienna,6004.0,0.4544874293548392,0.1752889315139995,3.107146949724765,0.8707192569585702,0.2361087799072265,vienna
