model,prompt_id,prompt,target,task,topic,layer,subspace_family,subspace_k,rep,route_role,rho,fisher_output_energy,latent_step_norm,calibration_policy,clean_correct,clean_confidence,clean_target_prob,clean_nll,clean_brier,after_correct,after_confidence,after_target_prob,after_nll,after_brier,delta_confidence,delta_target_prob,delta_nll,delta_brier,accuracy_changed,accuracy_loss,full_vocab_kl,full_vocab_l1,full_vocab_top10_jaccard,full_vocab_top5_jaccard
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,6,state_pca,8,0,high_rho_route,0.9260041502690175,0.05,0.590886268533856,correct_decrease_entropy_error_increase_entropy,1,0.902481148599316,0.902481148599316,0.1026074769718551,0.011711628329263535,1,0.915274331386178,0.915274331386178,0.08853144291976921,0.008914302426052179,0.012793182786861923,0.012793182786861923,-0.014076034052085892,-0.002797325903211356,0,0,0.001242175122220961,0.025700584113607407,0.8181818181818182,1.0
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,2,delta_pca,8,0,low_rho_route,0.5103579532886281,0.05,0.2059459479115022,correct_decrease_entropy_error_increase_entropy,0,0.019823319560725337,8.33711819972575e-05,9.392207847913365,1.0009410655458477,0,0.018195239711638382,8.859933305246611e-05,9.331386228006108,1.0008923023586678,-0.0016280798490869546,5.228151055208609e-06,-0.060821619907256874,-4.876318717994543e-05,0,0,0.0008544521939145701,0.03272014097485721,1.0,0.6666666666666666
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,6,random,8,0,random_route,0.6962903601210062,0.05,0.856229931148438,correct_decrease_entropy_error_increase_entropy,1,0.902481148599316,0.902481148599316,0.1026074769718551,0.011711628329263535,1,0.9143053172024241,0.9143053172024241,0.08959071822938404,0.00901861729947373,0.011824168603108087,0.011824168603108087,-0.01301675874247106,-0.0026930110297898047,0,0,0.001152641929176565,0.024324475364521977,1.0,1.0
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,2,delta_pca,8,0,high_rho_route,0.6098910313666904,0.05,0.26135555564863683,correct_decrease_entropy_error_increase_entropy,0,0.017412283383257406,6.7704647773120675e-06,11.902940820913246,1.0012705930235792,0,0.015917542727521317,6.874357267701438e-06,11.887712407116283,1.0011501392228785,-0.0014947406557360883,1.038924903893705e-07,-0.01522841379696338,-0.00012045380070069278,0,0,0.0011150884399722212,0.03702583277365217,0.8181818181818182,1.0
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,6,state_pca,8,0,low_rho_route,0.32464176525460875,0.05,0.20648219639421342,correct_decrease_entropy_error_increase_entropy,0,0.03765025520818478,0.02091314814302669,3.8673772200579375,0.963983499083344,0,0.0359946913281504,0.020345488046850442,3.894896109276001,0.9649240984291436,-0.0016555638800343844,-0.0005676600961762486,0.027518889218063336,0.0009405993457995976,0,0,0.0021141325150145036,0.05053196687903575,1.0,1.0
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,4,random,8,0,random_route,0.5664636998898814,0.05,0.39374497103301453,correct_decrease_entropy_error_increase_entropy,0,0.05712178577753786,0.00020271042131850457,8.503732093304443,1.0040024326704329,0,0.05230489552256151,0.0002098101977128053,8.469307256353964,1.0034643495242357,-0.00481689025497635,7.099776394300732e-06,-0.034424836950478266,-0.000538083146197188,0,0,0.0011794572233285747,0.03782673105598626,0.8181818181818182,1.0
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,6,delta_pca,8,0,high_rho_route,0.9509875854426142,0.05,1.0785358250930173,correct_decrease_entropy_error_increase_entropy,1,0.9843763169413244,0.9843763169413244,0.0157470191238791,0.00024806403073507344,1,0.990365008713047,0.990365008713047,0.009681708135303658,9.441412811950212e-05,0.005988691771722565,0.005988691771722565,-0.006065310988575441,-0.00015364990261557132,0,0,0.0018736023017093164,0.011995434785873131,0.8181818181818182,1.0
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,2,state_pca,8,0,low_rho_route,0.5069492203622342,0.05,0.2916001459976702,correct_decrease_entropy_error_increase_entropy,0,0.03136096477852161,0.0005465989210465452,7.5117952584083225,1.0032117172425277,0,0.02750649570183955,0.0006053319196725024,7.409733622816654,1.0023972710365179,-0.0038544690766820627,5.873299862595724e-05,-0.10206163559166814,-0.000814446206009789,0,0,0.002711967619622544,0.06104728903621723,0.8181818181818182,1.0
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,4,random,8,0,random_route,0.7705712501189103,0.05,0.2803866418184527,correct_decrease_entropy_error_increase_entropy,1,0.10270629986483447,0.10270629986483447,2.2758818215255414,0.8068054715280416,1,0.11159809158720085,0.11159809158720085,2.192851329654252,0.7909047124946671,0.008891791722366385,0.008891791722366385,-0.08303049187128941,-0.015900759033374512,0,0,0.0008820729865199254,0.03298433843742107,1.0,1.0
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,6,delta_pca,8,0,high_rho_route,0.9736508068534975,0.05,1.2217676349666233,correct_decrease_entropy_error_increase_entropy,1,0.6980086337652032,0.6980086337652032,0.35952380700514164,0.1744363002056477,1,0.7127412635279892,0.7127412635279892,0.3386368086787342,0.15966854541876352,0.014732629762785998,0.014732629762785998,-0.020886998326407447,-0.01476775478688419,0,0,0.0012260149884813776,0.029496027283979848,1.0,0.6666666666666666
