prompt_id,source_case_index,prompt,target,target_id,topic,fact_id,template_id,observed_condition,target_rank_final,final_top1_token,final_top1_prob_topk,final_top8_tokens
0,0,The capital of France is [MASK].,paris,3000,capital,capital:france,t0,error,4,marseille,0.1525685252202673,marseille nantes toulouse paris lyon bordeaux lille montpellier
1,1,France's capital city is [MASK].,paris,3000,capital,capital:france,t1,correct,1,paris,0.1676735682338495,paris lyon marseille nantes lille toulouse bordeaux nancy
2,2,"In France, the capital city is [MASK].",paris,3000,capital,capital:france,t2,correct,1,paris,0.1365509928860553,paris lyon nantes marseille bordeaux rouen toulouse lille
3,3,The capital of Germany is [MASK].,berlin,4068,capital,capital:germany,t0,error,5,bonn,0.15941584965202543,bonn frankfurt kassel dusseldorf berlin munich dresden cologne
4,4,Germany's capital city is [MASK].,berlin,4068,capital,capital:germany,t1,error,2,bonn,0.16212852114470072,bonn berlin munich dusseldorf frankfurt dresden leipzig stuttgart
5,5,"In Germany, the capital city is [MASK].",berlin,4068,capital,capital:germany,t2,error,7,bonn,0.09684323472538897,bonn kassel dusseldorf frankfurt munich darmstadt berlin dresden
6,6,The capital of Italy is [MASK].,rome,4199,capital,capital:italy,t0,error,4,turin,0.18918061657613305,turin florence naples rome bologna milan pisa palermo
7,7,Italy's capital city is [MASK].,rome,4199,capital,capital:italy,t1,error,2,turin,0.19482290842376782,turin rome milan florence naples bologna palermo trieste
8,8,"In Italy, the capital city is [MASK].",rome,4199,capital,capital:italy,t2,error,3,turin,0.1620779661199193,turin florence rome milan naples bologna genoa pisa
9,9,The capital of Spain is [MASK].,madrid,6921,capital,capital:spain,t0,correct,1,madrid,0.4174127702245179,madrid seville barcelona zaragoza valencia malaga bilbao salamanca
10,10,Spain's capital city is [MASK].,madrid,6921,capital,capital:spain,t1,correct,1,madrid,0.4318161868146898,madrid seville malaga barcelona zaragoza valencia granada bilbao
11,11,"In Spain, the capital city is [MASK].",madrid,6921,capital,capital:spain,t2,correct,1,madrid,0.2353864130309072,madrid seville zaragoza valencia malaga barcelona bilbao salamanca
12,12,The capital of Japan is [MASK].,tokyo,5522,capital,capital:japan,t0,correct,1,tokyo,0.33949825978266707,tokyo osaka kyoto nagoya kobe fukuoka nagasaki hiroshima
13,13,Japan's capital city is [MASK].,tokyo,5522,capital,capital:japan,t1,correct,1,tokyo,0.38763715746821703,tokyo osaka kyoto kobe nagoya fukuoka nagasaki yokohama
14,14,"In Japan, the capital city is [MASK].",tokyo,5522,capital,capital:japan,t2,correct,1,tokyo,0.2920188361539528,tokyo kyoto osaka kobe nagoya fukuoka yokohama kochi
15,15,The capital of China is [MASK].,beijing,7211,capital,capital:china,t0,correct,1,beijing,0.5267216003203962,beijing nanjing guangzhou tianjin shanghai shenzhen peking taipei
16,16,China's capital city is [MASK].,beijing,7211,capital,capital:china,t1,correct,1,beijing,0.5847515247120575,beijing nanjing guangzhou tianjin shanghai shenzhen peking taipei
