model,prompt_id,case_id,prompt,target,task,topic,layer,subspace_family,subspace_k,top_m,rho,v_access,v_inaccess,entropy,varentropy,confidence,rank_whitened_jb,grad_entropy_proj_norm,fisher_output_fro_norm,semantic_entropy_proxy,semantic_density_uncertainty,haloscope_style_consistency_risk
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,16,0.9309700521235833,0.7179739849882751,0.053236628447189245,2.370026515019353,0.7712106134354642,0.21987704771029984,8,0.23135383813389526,0.5525049950301126,1.1311528847055174,0.335426894800264,0.6312405973916676
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,delta_pca,8,16,0.501337553077608,0.38663684184721686,0.3845737715882487,2.370026515019353,0.7712106134354642,0.21987704771029984,8,0.19325929965683383,0.6168688281864529,1.1311528847055174,0.335426894800264,0.6312405973916676
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,random,8,16,0.4913218642704611,0.3789126363382784,0.3922979770971863,2.370026515019353,0.7712106134354642,0.21987704771029984,8,0.15936018461965556,0.6406430097926954,1.1311528847055174,0.335426894800264,0.6312405973916676
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:2:1:layer12,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,12,state_pca,8,16,0.7167503949657091,0.43780896364870076,0.17301590191645339,2.3929350692760267,0.610824865565154,0.1957477631825546,8,0.16947332377650925,0.601176008377178,1.3616695738736417,0.32892156201331724,0.8260671082144416
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:2:1:layer12,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,12,delta_pca,8,16,0.27753276481920164,0.16952391376061451,0.4413009518045403,2.3929350692760267,0.610824865565154,0.1957477631825546,8,0.09271463692794377,0.5920783846411275,1.3616695738736417,0.32892156201331724,0.8260671082144416
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:2:1:layer12,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,12,random,8,16,0.6375202121856629,0.38941319790337636,0.22141166766177803,2.3929350692760267,0.610824865565154,0.1957477631825546,8,0.128899292589859,0.7045059732337937,1.3616695738736417,0.32892156201331724,0.8260671082144416
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:4:2:layer12,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,12,state_pca,8,16,0.8880881537241649,0.7521490511477066,0.0947815694146751,2.304816649048871,0.8469306205623812,0.24607190463150558,8,0.1557863871756172,0.6020629496837726,1.2724258240161492,0.3202156973345014,0.7525436811583694
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:4:2:layer12,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,12,delta_pca,8,16,0.47170038009242726,0.39949749563119064,0.44743312493119064,2.304816649048871,0.8469306205623812,0.24607190463150558,8,0.1292971750345948,0.6068193159489133,1.2724258240161492,0.3202156973345014,0.7525436811583694
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:4:2:layer12,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,12,random,8,16,0.6684239100747654,0.5661086769583545,0.28082194360402674,2.304816649048871,0.8469306205623812,0.24607190463150558,8,0.1919338488377403,0.6738830913249617,1.2724258240161492,0.3202156973345014,0.7525436811583694
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:2:0:layer12,factual_completion:2:0,A person who teaches students is a,teacher,factual_completion,role,12,state_pca,8,16,0.7097045199656439,0.30352542520694914,0.12415316027203735,2.5540827536767474,0.4276785854789857,0.17492715327576885,8,0.1274017226242605,0.5927670849216423,1.3208908027187651,0.34169379633894703,0.7980057803827687
